,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,5caca6b4a9acb200011a6547,familiarity,26,UrOQ,hChY,1,1,True,1163.0
0,5caca6b4a9acb200011a6547,familiarity,27,ctkt,mcOJ,1,1,True,1608.0
0,5caca6b4a9acb200011a6547,familiarity,28,TEBK,ldAa,1,1,True,1201.0
0,5caca6b4a9acb200011a6547,familiarity,29,tmAK,bAdk,0,1,False,948.0
0,5caca6b4a9acb200011a6547,familiarity,30,CmYA,CPMl,0,1,False,1882.0
0,5cb4adc019ee7300189e8547,familiarity,1,kRCkO,laYmr,1,0,False,1936.0
0,5cb4adc019ee7300189e8547,familiarity,2,rab,EcR,1,1,True,1497.0
0,5cb4adc019ee7300189e8547,familiarity,3,bRC,PMd,1,1,True,1523.0
0,5cb4adc019ee7300189e8547,familiarity,4,kGua,PlEK,1,0,False,1211.0
0,5cb4adc019ee7300189e8547,familiarity,5,KElB,mKcD,0,0,True,715.0
0,5cb4adc019ee7300189e8547,familiarity,6,JdGm,YbBT,0,0,True,1275.0
0,5cb4adc019ee7300189e8547,familiarity,7,dvNvA,LNUrJ,1,1,True,1222.0
0,5cb4adc019ee7300189e8547,familiarity,8,lGZv,BbOD,1,1,True,1007.0
0,5cb4adc019ee7300189e8547,familiarity,9,ukYZ,BRDh,1,0,False,1065.0
0,5cb4adc019ee7300189e8547,familiarity,10,kPkRA,NbmQU,0,0,True,1142.0
0,5cb4adc019ee7300189e8547,familiarity,11,kCRm,OdYP,0,1,False,908.0
0,5cb4adc019ee7300189e8547,familiarity,12,dEPD,kuvb,1,1,True,1002.0
0,5cb4adc019ee7300189e8547,familiarity,13,LcNUJ,OdlNm,0,1,False,1056.0
0,5cb4adc019ee7300189e8547,familiarity,14,COtBD,GLYrA,0,0,True,1128.0
0,5cb4adc019ee7300189e8547,familiarity,15,Zvalv,KTDTB,1,1,True,829.0
0,5cb4adc019ee7300189e8547,familiarity,16,RDM,TAm,1,1,True,955.0
0,5cb4adc019ee7300189e8547,familiarity,17,TRkY,tdDd,1,0,False,955.0
0,5cb4adc019ee7300189e8547,familiarity,18,lBlE,kJdr,0,0,True,699.0
0,5cb4adc019ee7300189e8547,familiarity,19,mBmlA,ckduA,0,0,True,995.0
0,5cb4adc019ee7300189e8547,familiarity,20,kbu,aQr,0,1,False,1026.0
0,5cb4adc019ee7300189e8547,familiarity,21,kmU,kBD,0,0,True,780.0
0,5cb4adc019ee7300189e8547,familiarity,22,kcdOt,OQarQ,0,1,False,847.0
0,5cb4adc019ee7300189e8547,familiarity,23,lYrua,lKdbc,0,0,True,883.0
0,5cb4adc019ee7300189e8547,familiarity,24,YcdO,RCcE,0,0,True,683.0
0,5cb4adc019ee7300189e8547,familiarity,25,QONk,NJZl,1,1,True,887.0
0,5cb4adc019ee7300189e8547,familiarity,26,bmbN,MCkm,1,0,False,855.0
0,5cb4adc019ee7300189e8547,familiarity,27,OcYM,rvUb,0,0,True,688.0
0,5cb4adc019ee7300189e8547,familiarity,28,KEdl,EhRm,1,1,True,1275.0
0,5cb4adc019ee7300189e8547,familiarity,29,DhCP,mrOd,0,1,False,1017.0
0,5cb4adc019ee7300189e8547,familiarity,30,JrGv,bvkr,0,0,True,759.0
0,5cf14e1eb4397d0001f94e20,familiarity,1,mCd,tAY,1,1,True,2449.0
0,5cf14e1eb4397d0001f94e20,familiarity,2,Tbk,aQr,1,1,True,1063.0
0,5cf14e1eb4397d0001f94e20,familiarity,3,kJdr,YTOM,1,0,False,1071.0
0,5cf14e1eb4397d0001f94e20,familiarity,4,bNdmG,hAROK,0,1,False,962.0
0,5cf14e1eb4397d0001f94e20,familiarity,5,hkRK,JNka,1,0,False,1291.0
0,5cf14e1eb4397d0001f94e20,familiarity,6,lLG,TAm,1,0,False,1488.0
0,5cf14e1eb4397d0001f94e20,familiarity,7,TbKME,dGLAl,1,1,True,1508.0
0,5cf14e1eb4397d0001f94e20,familiarity,8,BEPO,rkra,0,0,True,1316.0
0,5cf14e1eb4397d0001f94e20,familiarity,9,DCmh,MKmY,1,1,True,1195.0
0,5cf14e1eb4397d0001f94e20,familiarity,10,hTtBb,NLQGm,0,0,True,1137.0
0,5cf14e1eb4397d0001f94e20,familiarity,11,uAkr,YZJO,1,0,False,1578.0
0,5cf14e1eb4397d0001f94e20,familiarity,12,UYZlZ,Blmcl,0,0,True,1585.0
0,5cf14e1eb4397d0001f94e20,familiarity,13,BATOc,tmtEM,0,1,False,1448.0
0,5cf14e1eb4397d0001f94e20,familiarity,14,ZcGdN,NAacQ,1,1,True,1985.0
0,5cf14e1eb4397d0001f94e20,familiarity,15,bYuQ,Zckv,1,1,True,1317.0
0,5cf14e1eb4397d0001f94e20,familiarity,16,CMdP,aONd,0,1,False,1202.0
0,5cf14e1eb4397d0001f94e20,familiarity,17,Ald,PED,0,1,False,1531.0
0,5cf14e1eb4397d0001f94e20,familiarity,18,YBO,dRA,1,0,False,1673.0
0,5cf14e1eb4397d0001f94e20,familiarity,19,vcb,bLd,1,1,True,1352.0
0,5cf14e1eb4397d0001f94e20,familiarity,20,rGUAY,AZaJc,0,0,True,1259.0
0,5cf14e1eb4397d0001f94e20,familiarity,21,adYrc,hmKPM,0,1,False,1268.0
0,5cf14e1eb4397d0001f94e20,familiarity,22,lrZG,badk,1,0,False,1046.0
0,5cf14e1eb4397d0001f94e20,familiarity,23,Dmh,Jud,0,0,True,1740.0
0,5cf14e1eb4397d0001f94e20,familiarity,24,UvOG,NaJb,1,1,True,1523.0
0,5cf14e1eb4397d0001f94e20,familiarity,25,uOAO,bAdk,1,1,True,1636.0
0,5cf14e1eb4397d0001f94e20,familiarity,26,MhKd,BYhT,0,0,True,2476.0
0,5cf14e1eb4397d0001f94e20,familiarity,27,aNYmb,EltMB,0,1,False,1460.0
0,5cf14e1eb4397d0001f94e20,familiarity,28,OEPk,YJkb,1,0,False,1245.0
0,5cf14e1eb4397d0001f94e20,familiarity,29,thbOM,Udumd,1,0,False,1159.0
0,5cf14e1eb4397d0001f94e20,familiarity,30,YObA,OJGQ,0,0,True,1022.0
0,5d97c38dce449e001244dc15,familiarity,1,kcOY,alJY,0,0,True,2850.0
0,5d97c38dce449e001244dc15,familiarity,2,DMRP,JmNk,1,1,True,1905.0
0,5d97c38dce449e001244dc15,familiarity,3,YOaAb,KAERM,0,1,False,2761.0
0,5d97c38dce449e001244dc15,familiarity,4,JZr,Akd,1,0,False,1685.0
0,5d97c38dce449e001244dc15,familiarity,5,TdmA,ORbk,0,0,True,2020.0
0,5d97c38dce449e001244dc15,familiarity,6,dGLAl,rbYbu,0,0,True,1680.0
0,5d97c38dce449e001244dc15,familiarity,7,BOckP,Blmcl,1,1,True,1476.0
0,5d97c38dce449e001244dc15,familiarity,8,Amacl,KTDTB,1,1,True,1776.0
0,5d97c38dce449e001244dc15,familiarity,9,OJGQ,NYZu,1,1,True,1712.0
0,5d97c38dce449e001244dc15,familiarity,10,PYkC,khmh,0,0,True,1416.0
0,5d97c38dce449e001244dc15,familiarity,11,OdlNm,MkmEd,1,1,True,2793.0
0,5d97c38dce449e001244dc15,familiarity,12,bNdmG,kcdOt,1,0,False,2158.0
0,5d97c38dce449e001244dc15,familiarity,13,RCdc,cYUv,0,0,True,1218.0
0,5d97c38dce449e001244dc15,familiarity,14,UAcdu,Ldrbv,0,0,True,2449.0
0,5d97c38dce449e001244dc15,familiarity,15,mARM,mbZl,1,1,True,2340.0
0,5d97c38dce449e001244dc15,familiarity,16,rkJu,PlEK,0,1,False,1609.0
0,5d97c38dce449e001244dc15,familiarity,17,mLdkZ,BOCRM,0,0,True,2158.0
0,5d97c38dce449e001244dc15,familiarity,18,YlYc,YArG,0,0,True,2469.0
0,5d97c38dce449e001244dc15,familiarity,19,DlDT,aYaN,1,1,True,1365.0
0,5d97c38dce449e001244dc15,familiarity,20,Dmh,aQr,0,0,True,2906.0
0,5d97c38dce449e001244dc15,familiarity,21,RYtkc,JZOAk,0,0,True,2318.0
0,5d97c38dce449e001244dc15,familiarity,22,NUZ,Ymb,0,1,False,1376.0
0,5d97c38dce449e001244dc15,familiarity,23,UvOG,OJNk,1,0,False,2165.0
0,5d97c38dce449e001244dc15,familiarity,24,TmTm,KEdl,0,0,True,1746.0
0,5d97c38dce449e001244dc15,familiarity,25,EPERd,OAmGr,0,0,True,1480.0
0,5d97c38dce449e001244dc15,familiarity,26,kdrO,YJkb,0,0,True,3274.0
0,5d97c38dce449e001244dc15,familiarity,27,BRDh,LuaU,1,1,True,2048.0
0,5d97c38dce449e001244dc15,familiarity,28,DlDd,JAaG,1,1,True,1245.0
0,5d97c38dce449e001244dc15,familiarity,29,JcUk,APEM,0,1,False,2271.0
0,5d97c38dce449e001244dc15,familiarity,30,ark,Tbk,1,0,False,1653.0
0,5e80c7d61a07dd7b0d8f0111,familiarity,1,GUOA,OcYM,1,0,False,1612.0
