,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,60fa7628023c88195f68529c,familiarity,14,GYV,PEX,0,0,True,1391.0
0,60fa7628023c88195f68529c,familiarity,15,RXWK,AWSU,0,0,True,787.0
0,60fa7628023c88195f68529c,familiarity,16,LQUJO,WLXCM,0,0,True,720.0
0,60fa7628023c88195f68529c,familiarity,17,KYI,LXG,1,1,True,1105.0
0,60fa7628023c88195f68529c,familiarity,18,AOGK,NJLI,1,1,True,882.0
0,60fa7628023c88195f68529c,familiarity,19,FZLF,UCSU,1,1,True,727.0
0,60fa7628023c88195f68529c,familiarity,20,UBSU,GQKI,1,1,True,866.0
0,60fa7628023c88195f68529c,familiarity,21,KXH,RBO,0,0,True,1008.0
0,60fa7628023c88195f68529c,familiarity,22,ISPW,HRDY,0,0,True,851.0
0,60fa7628023c88195f68529c,familiarity,23,SJNXF,JRZVH,0,0,True,949.0
0,60fa7628023c88195f68529c,familiarity,24,ULUJ,OBJA,0,0,True,1074.0
0,60fa7628023c88195f68529c,familiarity,25,UWQEO,CTOIV,0,0,True,955.0
0,60fa7628023c88195f68529c,familiarity,26,BZBJS,YIDUN,1,0,False,905.0
0,60fa7628023c88195f68529c,familiarity,27,PGF,WKT,1,1,True,918.0
0,60fa7628023c88195f68529c,familiarity,28,PNLM,JGFH,0,0,True,975.0
0,60fa7628023c88195f68529c,familiarity,29,UPHS,JPXF,0,0,True,1010.0
0,60fa7628023c88195f68529c,familiarity,30,ZSPY,TUXE,0,0,True,1345.0
0,6124f23ea1f4ef44fe280dd4,familiarity,1,MZJH,BLHM,0,1,False,2611.0
0,6124f23ea1f4ef44fe280dd4,familiarity,2,YIDUN,PJPTI,1,1,True,1610.0
0,6124f23ea1f4ef44fe280dd4,familiarity,3,DEIQ,FQSI,0,0,True,1005.0
0,6124f23ea1f4ef44fe280dd4,familiarity,4,DHNY,ISPW,1,1,True,1127.0
0,6124f23ea1f4ef44fe280dd4,familiarity,5,HSTDK,JZQMJ,0,1,False,1202.0
0,6124f23ea1f4ef44fe280dd4,familiarity,6,ZFUA,VDIS,0,1,False,1421.0
0,6124f23ea1f4ef44fe280dd4,familiarity,7,QWFU,DJZJ,1,0,False,967.0
0,6124f23ea1f4ef44fe280dd4,familiarity,8,CYT,TGB,0,1,False,1176.0
0,6124f23ea1f4ef44fe280dd4,familiarity,9,MZAI,LSKR,0,1,False,1322.0
0,6124f23ea1f4ef44fe280dd4,familiarity,10,QPMY,SQBU,0,0,True,1061.0
0,6124f23ea1f4ef44fe280dd4,familiarity,11,TUZ,WKT,1,0,False,1562.0
0,6124f23ea1f4ef44fe280dd4,familiarity,12,VIRB,CZPW,0,0,True,1373.0
0,6124f23ea1f4ef44fe280dd4,familiarity,13,XGNE,PJRY,0,0,True,1538.0
0,6124f23ea1f4ef44fe280dd4,familiarity,14,LHQ,VXB,1,0,False,1357.0
0,6124f23ea1f4ef44fe280dd4,familiarity,15,QRBJ,VSWK,0,1,False,1039.0
0,6124f23ea1f4ef44fe280dd4,familiarity,16,RWEQM,JRZVH,1,0,False,1320.0
