"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","response","stimulus","success","item","task","correct_response","testing_condition","correct","target","confound","name","view_history"
"html-keyboard-response","746","1621231","0.0-25.0-0.87","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","181","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">OLJblJud<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","OLJblJud","testing","k","[""morphemeXmorpheme""]","true","","","",""
"html-keyboard-response","747","1621402","0.0-25.0-0.88","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","168","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">AZlLNQGb<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","AZlLNQGb","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","748","1621472","0.0-25.0-0.89","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","68","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">kKEdMJcUk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","kKEdMJcUk","testing","d","[""morcodeXmorcode""]","true","","","",""
"html-keyboard-response","749","1621629","0.0-25.0-0.90","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","155","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">tKDmhLUOk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","tKDmhLUOk","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","750","1621963","0.0-25.0-0.91","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","333","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">EdBbdEPD<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","EdBbdEPD","testing","k","[""morphemeXmorpheme""]","true","","","",""
"html-keyboard-response","751","1622112","0.0-25.0-0.92","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","147","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">bYGOZtmYh<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","bYGOZtmYh","testing","d","[""morcodeXmorcode""]","true","","","",""
"html-keyboard-response","752","1622208","0.0-25.0-0.93","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","96","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">CkBOPdNZA<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","CkBOPdNZA","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","753","1622355","0.0-25.0-0.94","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","146","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">tKDmhLkNc<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","tKDmhLkNc","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","754","1622497","0.0-25.0-0.95","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","139","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">ObOQlPED<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","ObOQlPED","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","755","1622767","0.0-25.0-0.96","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","269","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">LdrbvmbZl<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","LdrbvmbZl","testing","d","[""morcodeXmorcode""]","true","","","",""
